GEO_ID,total_workers,workers_using_transit,total_households,mean_income,percent_w_assistance,percent_white,percent_black_or_african_american
53033001200,3383,31.4,3781,64353,11.3,63.1,6.2
53033001900,2722,25.9,2264,96735,7.8,75.5,2.3
53033003400,2262,15.6,1550,124719,3.3,86.2,1.4
53033022902,3048,5.0,2404,169353,0.0,63.7,1.0
53033022603,3098,6.7,2378,140412,8.6,68.0,1.1
53033022605,3576,13.2,2579,98926,5.4,64.1,1.9
53033022802,2569,10.6,2037,137042,3.3,65.7,1.4
53033023202,2233,15.0,1841,79609,14.0,52.0,10.6
53033023700,2391,10.6,1738,162106,1.4,65.5,1.6
53033024500,2250,4.8,1715,268841,3.2,74.6,0.9
53033024601,1929,5.6,1630,258864,0.4,79.0,0.0
53033025500,2744,7.4,2026,74027,15.5,51.2,9.4
53033025701,3446,6.3,2893,67252,11.0,56.5,14.0
53033026500,1766,23.4,1521,43723,50.6,33.8,19.2
53033027000,1774,3.3,1160,80205,15.3,59.4,3.7
53033027701,2494,20.7,2185,106957,5.0,94.8,0.1
53033028200,2613,17.1,1863,69203,27.5,33.8,25.5
53033003500,2438,23.1,1881,117903,2.3,86.4,1.0
53033004400,4921,34.3,2686,88402,8.8,74.4,3.4
53033005301,3386,33.8,2864,29534,7.3,49.8,2.6
53033006400,1940,11.6,1369,215605,3.9,87.4,1.1
53033008002,2205,10.6,2479,85973,26.5,70.0,6.4
53033008400,3355,28.8,3108,82882,7.1,69.6,5.0
53033008800,2735,26.0,1642,130760,11.0,62.1,12.3
53033009000,2009,29.4,1833,72310,22.6,38.6,27.7
53033022300,1271,7.6,1002,200105,1.5,84.9,0.6
53033022604,2630,9.5,1834,133076,4.6,76.4,0.0
53033022702,2015,7.8,1423,188100,2.2,83.2,0.9
53033022801,4793,18.7,3828,138381,8.8,42.0,4.9
53033022803,2991,26.0,2334,131213,6.2,38.3,0.9
53033023000,2468,9.6,1773,171072,4.3,74.6,2.1
53033023603,3801,19.4,2566,122108,7.3,45.0,1.5
53033025702,1928,4.7,1239,107905,6.5,62.1,9.6
53033026400,3251,10.7,2397,61229,17.2,50.1,11.5
53033027100,1268,10.0,1272,57879,20.2,68.6,11.7
53033027400,2377,4.0,1712,78830,12.6,55.3,4.1
53033027500,2278,8.2,1765,65150,21.2,60.4,4.6
53033028801,1042,8.7,730,93809,16.7,66.4,6.6
53033028901,1815,8.5,1604,83860,6.9,74.3,3.1
53033029204,3866,8.4,2554,83576,12.7,49.0,12.6
53033029305,2225,3.9,1332,101325,15.8,56.1,3.4
53033030003,3057,5.6,2416,77268,7.5,55.8,5.4
53033030202,2923,9.6,2393,69231,21.9,52.8,13.9
53033030305,2270,14.1,2098,82818,19.9,68.2,11.3
53033030503,2311,6.9,2129,66616,17.5,65.4,8.3
53033030504,1916,6.5,1978,63102,20.0,74.0,8.0
53033030801,2930,9.2,2394,49624,36.4,61.1,6.5
53033031204,2946,2.5,2307,118344,3.6,86.5,1.1
53033031904,1646,2.3,1335,119122,4.6,90.5,0.0
53033032008,2326,1.1,1583,104484,9.8,83.7,1.5
53033032207,1807,2.4,1235,202809,1.0,80.1,0.4
53033032210,7069,10.7,5024,145908,5.5,61.1,3.3
53033032003,2661,1.1,1992,118047,5.9,93.7,0.6
53033032007,2015,3.7,1307,123606,4.6,86.8,5.0
53033032311,2791,0.7,2137,175090,0.0,86.4,1.4
53033011500,2794,23.5,1981,109123,3.4,78.7,4.8
53033011600,3950,11.7,3079,134922,3.2,89.1,0.5
53033020600,1982,17.4,1328,99036,2.9,67.1,7.4
53033021700,4362,16.8,3656,98381,9.8,74.8,2.6
53033021803,2525,6.3,2027,104040,8.6,72.6,4.9
53033021906,2148,7.1,1633,106526,4.3,73.2,2.2
53033022400,4681,4.4,3681,168163,6.1,83.0,0.3
53033022500,4646,10.4,4090,157814,3.3,83.2,0.0
53033023801,1554,9.3,1286,128288,5.9,54.2,0.5
53033024000,3487,8.7,3365,191737,3.6,61.3,0.0
53033025001,2621,6.8,1894,132919,5.0,65.4,2.7
53033025102,4017,9.6,2778,117800,7.5,48.7,5.3
53033025804,1797,6.6,1128,91303,12.9,59.8,7.7
53033026802,2490,10.8,1723,63199,27.3,49.7,9.7
53033028100,1446,16.0,829,62675,26.9,27.3,35.6
53033028700,2539,2.9,1844,92979,6.8,75.9,4.4
53033028902,3684,14.3,2420,59359,31.2,32.9,9.4
53033029004,1634,15.0,1314,52356,35.5,47.8,18.5
53033032315,2832,6.8,2058,169280,5.8,88.9,0.8
53033002700,3781,19.9,2462,147107,1.6,76.1,1.4
53033004100,3399,10.1,2879,227853,2.4,82.9,0.1
53033004900,5865,36.3,3754,106124,3.7,89.0,0.3
53033029601,3149,4.6,2059,81601,19.1,46.8,15.8
53033030004,4364,12.2,3255,69715,36.7,44.5,13.7
53033030311,2630,9.7,1718,90085,15.0,63.0,8.8
53033030312,2458,10.6,1799,68078,16.2,64.8,11.0
53033030404,2475,2.1,1636,99994,9.2,84.9,1.4
53033031400,3138,1.7,2453,67320,17.6,80.6,4.5
53033031703,3518,2.5,2653,119939,12.6,76.4,5.4
53033000700,2860,29.0,2222,69418,9.2,59.5,13.1
53033002200,2951,13.8,2306,178121,0.5,80.5,0.1
53033002400,1734,16.0,1309,129299,3.4,82.9,0.3
53033003000,3528,16.6,2608,113347,5.8,83.1,0.3
53033006600,3100,21.4,2390,115116,2.5,76.4,1.9
53033006900,2944,18.1,2299,159363,3.9,89.3,0.8
53033008200,2851,17.7,2810,107695,10.7,72.5,7.8
53033011800,3693,23.4,2861,63889,29.8,25.1,30.9
53033020200,2211,10.2,2103,107326,8.9,81.1,1.4
53033020300,3815,18.1,3100,75421,12.1,64.6,8.3
53033021500,2361,7.2,1699,147868,1.5,82.6,2.7
53033022102,3265,6.9,2424,124213,3.5,77.1,0.0
53033022703,1113,6.9,857,153429,6.0,74.4,4.0
53033006500,3237,19.7,2481,168726,1.5,85.3,0.4
53033007500,6595,29.7,5753,85401,9.0,75.3,4.1
53033008001,4847,18.9,4507,117617,6.1,61.0,8.2
53033008100,2576,23.1,2748,121773,15.1,64.5,8.7
53033008600,2848,20.8,2042,67718,16.4,58.8,7.1
53033010800,2538,13.8,1861,95706,19.9,50.9,10.8
53033011200,1647,23.7,1413,49039,26.9,45.6,5.4
53033011900,4119,16.1,2599,92773,14.6,29.0,24.3
53033020401,2054,7.8,1440,83541,10.7,77.7,4.8
53033021804,2579,8.5,1932,90665,3.3,74.5,3.5
53033022005,2965,12.1,2287,101887,4.9,70.7,1.3
53033022201,2439,7.6,1710,111087,5.0,80.3,2.2
53033023100,1923,5.7,1419,147627,5.6,63.0,2.2
53033023300,3101,10.8,2328,103151,19.1,74.5,0.1
53033023401,1808,10.4,1543,105228,12.9,55.4,2.4
53033024100,1958,4.6,1705,319595,1.5,77.8,0.6
53033024702,3862,7.9,2959,156782,2.1,64.3,5.1
53033028000,2116,15.6,1557,63837,23.1,44.2,14.5
53033028402,2543,6.4,1774,63019,26.3,32.8,30.7
53033028600,3344,3.1,2719,125538,3.8,90.1,0.0
53033029003,2986,10.8,1984,73821,17.1,52.5,13.1
53033029303,3870,8.5,2950,86109,9.1,46.6,13.9
53033029307,2180,2.7,1312,101513,14.5,66.1,1.1
53033029406,2692,6.5,1609,102965,16.1,41.3,12.8
53033029700,3451,5.7,2805,75098,29.5,67.4,10.2
